symbol,Short Name,Long Name,GICS Sector,GICS Sub-Industry,Headquarters Location
CBRE,CBRE Group Inc,"CBRE Group, Inc.",Real Estate,Real Estate Services,"Dallas, Texas"
CDW,CDW Corporation,CDW Corporation,Information Technology,Technology Distributors,"Vernon Hills, Illinois"
COR,"Cencora, Inc.","Cencora, Inc.",Health Care,Health Care Distributors,"Conshohocken, Pennsylvania"
CNC,Centene Corporation,Centene Corporation,Health Care,Managed Health Care,"St. Louis, Missouri"
CNP,"CenterPoint Energy, Inc (Holdin","CenterPoint Energy, Inc.",Utilities,Multi-Utilities,"Houston, Texas"
CF,"CF Industries Holdings, Inc.","CF Industries Holdings, Inc.",Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois"
CRL,Charles River Laboratories Inte,"Charles River Laboratories International, Inc.",Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts"
SCHW,Charles Schwab Corporation (The,The Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"Westlake, Texas"
CHTR,"Charter Communications, Inc.","Charter Communications, Inc.",Communication Services,Cable & Satellite,"Stamford, Connecticut"
CVX,Chevron Corporation,Chevron Corporation,Energy,Integrated Oil & Gas,"Houston, Texas"
CMG,"Chipotle Mexican Grill, Inc.","Chipotle Mexican Grill, Inc.",Consumer Discretionary,Restaurants,"Newport Beach, California"
CB,Chubb Limited,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland"
CHD,"Church & Dwight Company, Inc.","Church & Dwight Co., Inc.",Consumer Staples,Household Products,"Ewing, New Jersey"
CI,The Cigna Group,The Cigna Group,Health Care,Health Care Services,"Bloomfield, Connecticut"
CINF,Cincinnati Financial Corporatio,Cincinnati Financial Corporation,Financials,Property & Casualty Insurance,"Fairfield, Ohio"
CTAS,Cintas Corporation,Cintas Corporation,Industrials,Diversified Support Services,"Mason, Ohio"
CSCO,"Cisco Systems, Inc.","Cisco Systems, Inc.",Information Technology,Communications Equipment,"San Jose, California"
C,"Citigroup, Inc.",Citigroup Inc.,Financials,Diversified Banks,"New York City, New York"
CFG,"Citizens Financial Group, Inc.","Citizens Financial Group, Inc.",Financials,Regional Banks,"Providence, Rhode Island"
CLX,Clorox Company (The),The Clorox Company,Consumer Staples,Household Products,"Oakland, California"
CME,CME Group Inc.,CME Group Inc.,Financials,Financial Exchanges & Data,"Chicago, Illinois"
CMS,CMS Energy Corporation,CMS Energy Corporation,Utilities,Multi-Utilities,"Jackson, Michigan"
KO,Coca-Cola Company (The),The Coca-Cola Company,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia"
CTSH,Cognizant Technology Solutions ,Cognizant Technology Solutions Corporation,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey"
COIN,"Coinbase Global, Inc.","Coinbase Global, Inc.",Financials,Financial Exchanges & Data,"New York City, New York"
CL,Colgate-Palmolive Company,Colgate-Palmolive Company,Consumer Staples,Household Products,"New York City, New York"
CMCSA,Comcast Corporation,Comcast Corporation,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania"
CAG,"ConAgra Brands, Inc.","Conagra Brands, Inc.",Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois"
COP,ConocoPhillips,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
ED,"Consolidated Edison, Inc.","Consolidated Edison, Inc.",Utilities,Multi-Utilities,"New York City, New York"
STZ,"Constellation Brands, Inc.","Constellation Brands, Inc.",Consumer Staples,Distillers & Vintners,"Rochester, New York"
CEG,Constellation Energy Corporatio,Constellation Energy Corporation,Utilities,Electric Utilities,"Baltimore, Maryland"
COO,"The Cooper Companies, Inc.","The Cooper Companies, Inc.",Health Care,Health Care Supplies,"San Ramon, California"
CPRT,"Copart, Inc.","Copart, Inc.",Industrials,Diversified Support Services,"Dallas, Texas"
GLW,Corning Incorporated,Corning Incorporated,Information Technology,Electronic Components,"Corning, New York"
CPAY,"Corpay, Inc.","Corpay, Inc.",Financials,Transaction & Payment Processing Services,"Atlanta, Georgia"
CTVA,"Corteva, Inc.","Corteva, Inc.",Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana"
CSGP,"CoStar Group, Inc.","CoStar Group, Inc.",Real Estate,Real Estate Services,"Washington, D.C."
COST,Costco Wholesale Corporation,Costco Wholesale Corporation,Consumer Staples,Consumer Staples Merchandise Retail,"Issaquah, Washington"
CTRA,Coterra Energy Inc.,Coterra Energy Inc.,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
CRWD,"CrowdStrike Holdings, Inc.","CrowdStrike Holdings, Inc.",Information Technology,Systems Software,"Austin, Texas"
CCI,Crown Castle Inc.,Crown Castle Inc.,Real Estate,Telecom Tower REITs,"Houston, Texas"
CSX,CSX Corporation,CSX Corporation,Industrials,Rail Transportation,"Jacksonville, Florida"
CMI,Cummins Inc.,Cummins Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,"Columbus, Indiana"
CVS,CVS Health Corporation,CVS Health Corporation,Health Care,Health Care Services,"Woonsocket, Rhode Island"
DHR,Danaher Corporation,Danaher Corporation,Health Care,Life Sciences Tools & Services,"Washington, D.C."
DRI,"Darden Restaurants, Inc.","Darden Restaurants, Inc.",Consumer Discretionary,Restaurants,"Orlando, Florida"
DDOG,"Datadog, Inc.","Datadog, Inc.",Information Technology,Application Software,"New York City, New York"
DVA,DaVita Inc.,DaVita Inc.,Health Care,Health Care Services,"Denver, Colorado"
DAY,"Dayforce, Inc.",Dayforce Inc,Industrials,Human Resource & Employment Services,"Minneapolis, Minnesota"
DECK,Deckers Outdoor Corporation,Deckers Outdoor Corporation,Consumer Discretionary,Footwear,"Goleta, California"
DE,Deere & Company,Deere & Company,Industrials,Agricultural & Farm Machinery,"Moline, Illinois"
DELL,Dell Technologies Inc.,Dell Technologies Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Round Rock, Texas"
DAL,"Delta Air Lines, Inc.","Delta Air Lines, Inc.",Industrials,Passenger Airlines,"Atlanta, Georgia"
