symbol,Short Name,Long Name,GICS Sector,GICS Sub-Industry,Headquarters Location
AAMI,Acadian Asset Management Inc.,Acadian Asset Management Inc.,Financials,Asset Management & Custody Banks,"Boston, Massachusetts"
AAP,Advance Auto Parts Inc.,"Advance Auto Parts, Inc.",Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina"
AAT,"American Assets Trust, Inc.","American Assets Trust, Inc.",Real Estate,Diversified REITs,"San Diego, California"
ABCB,Ameris Bancorp,Ameris Bancorp,Financials,Regional Banks,"Atlanta, Georgia"
ABG,Asbury Automotive Group Inc,"Asbury Automotive Group, Inc.",Consumer Discretionary,Automotive Retail,"Duluth, Georgia"
ABM,ABM Industries Incorporated,ABM Industries Incorporated,Industrials,Environmental & Facilities Services,"New York City, New York"
ABR,Arbor Realty Trust,"Arbor Realty Trust, Inc.",Financials,Mortgage REITs,"Uniondale, New York"
ACA,"Arcosa, Inc.","Arcosa, Inc.",Industrials,Construction & Engineering,"Dallas, Texas"
ACAD,ACADIA Pharmaceuticals Inc.,ACADIA Pharmaceuticals Inc.,Health Care,Pharmaceuticals,"San Diego, California"
ACHC,"Acadia Healthcare Company, Inc.","Acadia Healthcare Company, Inc.",Health Care,Health Care Facilities,"Franklin, Tennessee"
ACIW,"ACI Worldwide, Inc.","ACI Worldwide, Inc.",Information Technology,Application Software,"Miami, Florida"
ACLS,"Axcelis Technologies, Inc.","Axcelis Technologies, Inc.",Information Technology,Semiconductor Materials & Equipment,"Beverly, Massachusetts"
ACT,"Enact Holdings, Inc.","Enact Holdings, Inc.",Financials,Commercial & Residential Mortgage Finance,"Raleigh, North Carolina"
ADAM,"Adamas Trust, Inc.","Adamas Trust, Inc.",Real Estate,Mortgage REITs,"New York City, New York"
ADEA,Adeia Inc.,Adeia Inc.,Information Technology,IT Consulting & Other Services,"San Jose, California"
ADMA,ADMA Biologics Inc,"ADMA Biologics, Inc.",Health Care,Biotechnology,"Ramsey, New Jersey"
ADNT,Adient plc,Adient plc,Consumer Discretionary,Automotive Parts & Equipment,"Plymouth, Michigan"
ADUS,Addus HomeCare Corporation,Addus HomeCare Corporation,Health Care,Health Care Services,"Frisco, Texas"
AEIS,"Advanced Energy Industries, Inc","Advanced Energy Industries, Inc.",Information Technology,Semiconductor Materials & Equipment,"Denver, Colorado"
AEO,"American Eagle Outfitters, Inc.","American Eagle Outfitters, Inc.",Consumer Discretionary,Apparel Retail,"Pittsburgh, Pennsylvania"
AESI,Atlas Energy Solutions Inc.,Atlas Energy Solutions Inc.,Energy,Oil & Gas Equipment & Services,"Austin, Texas"
AGO,Assured Guaranty Ltd.,Assured Guaranty Ltd.,Financials,Property & Casualty Insurance,"Hamilton, Bermuda"
AGYS,"Agilysys, Inc.","Agilysys, Inc.",Information Technology,Application Software,"Alpharetta, Georgia"
AHCO,AdaptHealth Corp.,AdaptHealth Corp.,Health Care,Health Care Equipment,"Plymouth Meeting, Pennsylvania"
AHH,"Armada Hoffler Properties, Inc.","Armada Hoffler Properties, Inc.",Real Estate,Diversified REITs,"Virginia Beach, Virginia"
AIN,Albany International Corporatio,Albany International Corp.,Industrials,Industrial Machinery & Supplies & Components,"Rochester, New Hampshire"
AIR,AAR Corp.,AAR Corp.,Industrials,Aerospace & Defense,"Wood Dale, Illinois"
AKR,Acadia Realty Trust,Acadia Realty Trust,Real Estate,Retail REITs,"Rye, New York"
AL,Air Lease Corporation,Air Lease Corporation,Industrials,Passenger Airlines,"Los Angeles, California"
ALEX,"Alexander & Baldwin, Inc.","Alexander & Baldwin, Inc.",Real Estate,Diversified REITs,"Honolulu, Hawaii"
ALG,"Alamo Group, Inc.",Alamo Group Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,"Seguin, Texas"
ALGT,Allegiant Travel Company,Allegiant Travel Company,Industrials,Passenger Airlines,"Summerlin, Nevada"
ALKS,Alkermes plc,Alkermes plc,Health Care,Pharmaceuticals,"Dublin, Ireland"
ALRM,"Alarm.com Holdings, Inc.","Alarm.com Holdings, Inc.",Financials,Application Software,"Tysons, Virginia"
AMN,AMN Healthcare Services Inc,"AMN Healthcare Services, Inc.",Health Care,Health Care Services,"Dallas, Texas"
AMPH,"Amphastar Pharmaceuticals, Inc.","Amphastar Pharmaceuticals, Inc.",Health Care,Pharmaceuticals,"Rancho Cucamonga, California"
AMR,"Alpha Metallurgical Resources, ","Alpha Metallurgical Resources, Inc.",Materials,Steel,"Bristol, Tennessee"
AMSF,"AMERISAFE, Inc.","AMERISAFE, Inc.",Financials,Property & Casualty Insurance,"DeRidder, Louisiana"
AMTM,"Amentum Holdings, Inc.","Amentum Holdings, Inc.",Industrials,Diversified Support Services,"Chantilly, Virginia"
AMWD,American Woodmark Corporation,American Woodmark Corporation,Industrials,Building Products,"Winchester, Virginia"
ANDE,"The Andersons, Inc.","The Andersons, Inc.",Consumer Staples,Food Distributors,"Maumee, Ohio"
ANGI,Angi Inc.,Angi Inc.,Communication Services,Advertising,"Denver, Colorado"
ANIP,"ANI Pharmaceuticals, Inc.","ANI Pharmaceuticals, Inc.",Health Care,Pharmaceuticals,"Baudette, Minnesota"
AORT,"Artivion, Inc.","Artivion, Inc.",Health Care,Health Care Equipment,"Kennesaw, Georgia"
AOSL,Alpha and Omega Semiconductor L,Alpha and Omega Semiconductor Limited,Information Technology,Semiconductors,"Sunnyvale, California"
APAM,Artisan Partners Asset Manageme,Artisan Partners Asset Management Inc.,Financials,Asset Management & Custody Banks,"Milwaukee, Wisconsin"
APLE,"Apple Hospitality REIT, Inc.","Apple Hospitality REIT, Inc.",Real Estate,Hotel & Resort REITs,"Richmond, Virginia"
APOG,"Apogee Enterprises, Inc.","Apogee Enterprises, Inc.",Industrials,Building Products,"Minneapolis, Minnesota"
ARCB,ArcBest Corporation,ArcBest Corporation,Industrials,Cargo Ground Transportation,"Fort Smith, Arkansas"
ARI,Apollo Commercial Real Estate F,"Apollo Commercial Real Estate Finance, Inc.",Real Estate,Mortgage REITs,"New York City, New York"
ARLO,"Arlo Technologies, Inc.","Arlo Technologies, Inc.",Information Technology,Communications Equipment,"San Jose, California"
AROC,"Archrock, Inc.","Archrock, Inc.",Energy,Oil & Gas Equipment & Services,"Houston, Texas"
ARR,"ARMOUR Residential REIT, Inc.","ARMOUR Residential REIT, Inc.",Real Estate,Mortgage REITs,"Vero Beach, Florida"
ARWR,"Arrowhead Pharmaceuticals, Inc.","Arrowhead Pharmaceuticals, Inc.",Health Care,Biotechnology,"Pasadena, California"
ASIX,AdvanSix Inc.,AdvanSix Inc.,Materials,Commodity Chemicals,"Parsippany–Troy Hills, New Jersey"
ASO,"Academy Sports and Outdoors, In","Academy Sports and Outdoors, Inc.",Consumer Discretionary,Specialty Stores,"Harris County, Texas"
ASTE,"Astec Industries, Inc.","Astec Industries, Inc.",Industrials,Construction Machinery & Heavy Transportation Equipment,"Chattanooga, Tennessee"
ASTH,Astrana Health Inc.,"Astrana Health, Inc.",Health Care,Health Care Facilities,"Alhambra, California"
ATEN,"A10 Networks, Inc.","A10 Networks, Inc.",Information Technology,Systems Software,"San Jose, California"
ATGE,Adtalem Global Education Inc.,Adtalem Global Education Inc.,Consumer Discretionary,Education Services,"Chicago, Illinois"
AUB,Atlantic Union Bankshares Corpo,Atlantic Union Bankshares Corporation,Financials,Regional Banks,"Richmond, Virginia"
AVA,Avista Corporation,Avista Corporation,Utilities,Multi-Utilities,"Spokane, Washington"
AVNS,"Avanos Medical, Inc.","Avanos Medical, Inc.",Health Care,Health Care Supplies,"Alpharetta, Georgia"
AWI,Armstrong World Industries Inc,"Armstrong World Industries, Inc.",Industrials,Building Products,"Lancaster, Pennsylvania"
AWR,American States Water Company,American States Water Company,Utilities,Water Utilities,"San Dimas, California"
AX,"Axos Financial, Inc.","Axos Financial, Inc.",Financials,Regional Banks,"Las Vegas, Nevada"
AXL,American Axle & Manufacturing H,"American Axle & Manufacturing Holdings, Inc.",Consumer Discretionary,Automotive Parts & Equipment,"Detroit, Michigan"
AZTA,"Azenta, Inc.","Azenta, Inc.",Health Care,Life Sciences Tools & Services,"Chelmsford, Massachusetts"
AZZ,AZZ Inc.,AZZ Inc.,Industrials,Heavy Electrical Equipment,"Fort Worth, Texas"
BANC,"Banc of California, Inc.","Banc of California, Inc.",Financials,Regional Banks,"Santa Ana, California"
BANF,BancFirst Corporation,BancFirst Corporation,Financials,Regional Banks,"Oklahoma City, Oklahoma"
BANR,Banner Corporation,Banner Corporation,Financials,Regional Banks,"Walla Walla, Washington"
BBT,Beacon Financial Corporation,Beacon Financial Corporation,Financials,Regional Banks,"Boston, Massachusetts"
BCC,"Boise Cascade, L.L.C.",Boise Cascade Company,Industrials,Building Products,"Boise, Idaho"
BCPC,Balchem Corporation,Balchem Corporation,Materials,Specialty Chemicals,"Montvale, New Jersey"
BDN,Brandywine Realty Trust,Brandywine Realty Trust,Real Estate,Office REITs,"Philadelphia, Pennsylvania"
BFH,"Bread Financial Holdings, Inc.","Bread Financial Holdings, Inc.",Financials,Consumer Finance,"Columbus, Ohio"
BFS,"Saul Centers, Inc.","Saul Centers, Inc.",Real Estate,Retail REITs,"Bethesda, Maryland"
BGC,"BGC Group, Inc.","BGC Group, Inc.",Financials,Investment Banking & Brokerage,"New York City, New York"
BHE,"Benchmark Electronics, Inc.","Benchmark Electronics, Inc.",Information Technology,Electronic Manufacturing Services,"Tempe, Arizona"
BJRI,"BJ's Restaurants, Inc.","BJ's Restaurants, Inc.",Consumer Discretionary,Restaurants,"Huntington Beach, California"
BKE,"Buckle, Inc. (The)","The Buckle, Inc.",Consumer Discretionary,Apparel Retail,"Kearney, Nebraska"
BKU,"BankUnited, Inc.","BankUnited, Inc.",Financials,Regional Banks,"Miami Lakes, Florida"
BL,"BlackLine, Inc.","BlackLine, Inc.",Information Technology,Application Software,"Los Angeles, California"
BLFS,"BioLife Solutions, Inc.","BioLife Solutions, Inc.",Health Care,Health Care Supplies,"Bothell, Washington"
BLMN,"Bloomin' Brands, Inc.","Bloomin' Brands, Inc.",Consumer Discretionary,Restaurants,"Tampa, Florida"
BMI,"Badger Meter, Inc.","Badger Meter, Inc.",Information Technology,Electronic Equipment & Instruments,"Milwaukee, Wisconsin"
BOH,Bank of Hawaii Corporation,Bank of Hawaii Corporation,Financials,Regional Banks,"Honolulu, Hawaii"
BOOT,"Boot Barn Holdings, Inc.","Boot Barn Holdings, Inc.",Consumer Discretionary,Apparel Retail,"Irvine, California"
BOX,"Box, Inc.","Box, Inc.",Information Technology,Application Software,"Redwood City, California"
BRC,Brady Corporation,Brady Corporation,Industrials,Commercial Printing,"Milwaukee, Wisconsin"
BTSG,"BrightSpring Health Services, I","BrightSpring Health Services, Inc.",Health Care,Health Care Services,"Louisville, Kentucky"
BTU,Peabody Energy Corporation,Peabody Energy Corporation,Energy,Coal & Consumable Fuels,"St. Louis, Missouri"
BWA,BorgWarner Inc.,BorgWarner Inc.,Consumer Discretionary,Automotive Parts & Equipment,"Auburn Hills, Michigan"
BXMT,"Blackstone Mortgage Trust, Inc.","Blackstone Mortgage Trust, Inc.",Financials,Mortgage REITs,"New York City, New York"
CABO,"Cable One, Inc.","Cable One, Inc.",Communication Services,Cable & Satellite,"Phoenix, Arizona"
CAKE,The Cheesecake Factory Incorpor,The Cheesecake Factory Incorporated,Consumer Discretionary,Restaurants,"Calabasas, California"
CAL,"Caleres, Inc.","Caleres, Inc.",Consumer Discretionary,Apparel Retail,"Clayton, Missouri"
CALM,"Cal-Maine Foods, Inc.","Cal-Maine Foods, Inc.",Consumer Staples,Packaged Foods & Meats,"Jackson, Mississippi"
CALX,"Calix, Inc","Calix, Inc.",Information Technology,Application Software,"San Jose, California"
CARG,"CarGurus, Inc.","CarGurus, Inc.",Communication Services,Interactive Media & Services,"Cambridge, Massachusetts"
CARS,Cars.com Inc.,Cars.com Inc.,Communication Services,Interactive Media & Services,"Chicago, Illinois"
CASH,"Pathward Financial, Inc.","Pathward Financial, Inc.",Financials,Regional Banks,"Sioux Falls, South Dakota"
CATY,Cathay General Bancorp,Cathay General Bancorp,Financials,Regional Banks,"Los Angeles, California"
CBRL,Cracker Barrel Old Country Stor,"Cracker Barrel Old Country Store, Inc.",Consumer Discretionary,Restaurants,"Lebanon, Tennessee"
CBU,"Community Financial System, Inc","Community Financial System, Inc.",Financials,Regional Banks,"DeWitt, New York"
CC,Chemours Company (The),The Chemours Company,Materials,Diversified Chemicals,"Wilmington, Delaware"
