Symbol,Short Name,Long Name,Type,Sector,Industry,Country
AA,Alcoa Corporation,Alcoa Corporation,share,Materials,Aluminum,"Pittsburgh, Pennsylvania"
AAL,"American Airlines Group, Inc.",American Airlines Group Inc.,share,Industrials,Passenger Airlines,"Fort Worth, Texas"
AAON,"AAON, Inc.","AAON, Inc.",share,Industrials,Building Products,"Tulsa, Oklahoma"
ACI,"Albertsons Companies, Inc.","Albertsons Companies, Inc.",share,Consumer Staples,Food Retail,"Boise, Idaho"
ACM,AECOM,AECOM,share,Industrials,Construction & Engineering,"Dallas, Texas"
ADC,Agree Realty Corporation,Agree Realty Corporation,share,Real Estate,Retail REITs,"Bloomfield Hills, Michigan"
AFG,"American Financial Group, Inc.","American Financial Group, Inc.",share,Financials,Multi-line Insurance,"Cincinnati, Ohio"
AGCO,AGCO Corporation,AGCO Corporation,share,Industrials,Agricultural & Farm Machinery,"Duluth, Georgia"
AIT,Applied Industrial Technologies,"Applied Industrial Technologies, Inc.",share,Industrials,Trading Companies & Distributors,"Cleveland, Ohio"
ALE,"Allete, Inc.","ALLETE, Inc.",share,Utilities,Electric Utilities,"Duluth, Minnesota"
ALGM,"Allegro MicroSystems, Inc.","Allegro MicroSystems, Inc.",share,Information Technology,Semiconductors,"Manchester, New Hampshire"
ALK,"Alaska Air Group, Inc.","Alaska Air Group, Inc.",share,Industrials,Passenger Airlines,"SeaTac, Washington"
ALLY,Ally Financial Inc.,Ally Financial Inc.,share,Financials,Consumer Finance,"Detroit, Michigan"
ALV,"Autoliv, Inc.","Autoliv, Inc.",share,Consumer Discretionary,Automotive Parts & Equipment,"Stockholm, Sweden"
AM,Antero Midstream Corporation,Antero Midstream Corporation,share,Energy,Oil & Gas Storage & Transportation,"Denver, Colorado"
AMG,"Affiliated Managers Group, Inc.","Affiliated Managers Group, Inc.",share,Financials,Asset Management & Custody Banks,"West Palm Beach, Florida"
AMH,American Homes 4 Rent,American Homes 4 Rent,share,Real Estate,Single-Family Residential REITs,"Las Vegas, Nevada"
AMKR,"Amkor Technology, Inc.","Amkor Technology, Inc.",share,Information Technology,Semiconductors,"Tempe, Arizona"
AN,"AutoNation, Inc.","AutoNation, Inc.",share,Consumer Discretionary,Automotive Retail,"Fort Lauderdale, Florida"
ANF,Abercrombie & Fitch Company,Abercrombie & Fitch Co.,share,Consumer Discretionary,Apparel Retail,"New Albany, Ohio"
APG,APi Group Corporation,APi Group Corporation,share,Industrials,Construction & Engineering,"New Brighton, Minnesota"
APPF,"AppFolio, Inc.","AppFolio, Inc.",share,Information Technology,Application Software,"Goleta, California"
AR,Antero Resources Corporation,Antero Resources Corporation,share,Energy,Oil & Gas Exploration & Production,"Denver, Colorado"
ARMK,Aramark,Aramark,share,Consumer Discretionary,Distributors,"Philadelphia, Pennsylvania"
ARW,"Arrow Electronics, Inc.","Arrow Electronics, Inc.",share,Information Technology,Technology Distributors,"Centennial, Colorado"
ASB,Associated Banc-Corp,Associated Banc-Corp,share,Financials,Regional Banks,"Green Bay, Wisconsin"
ASGN,ASGN Incorporated,ASGN Incorporated,share,Information Technology,IT Consulting & Other Services,"Glen Allen, Virginia"
ASH,Ashland Inc.,Ashland Inc.,share,Materials,Diversified Chemicals,"Wilmington, Delaware"
ATI,ATI Inc.,ATI Inc.,share,Industrials,Aerospace & Defense,"Dallas, Texas"
ATR,"AptarGroup, Inc.","AptarGroup, Inc.",share,Materials,"Metal, Glass & Plastic Containers","Crystal Lake, Illinois"
AVAV,"AeroVironment, Inc.","AeroVironment, Inc.",share,Industrials,Aerospace & Defense,"Arlington County, Virginia"
AVNT,Avient Corporation,Avient Corporation,share,Materials,Specialty Chemicals,"Avon Lake, Ohio"
AVT,"Avnet, Inc.","Avnet, Inc.",share,Information Technology,Technology Distributors,"Phoenix, Arizona"
AVTR,"Avantor, Inc.","Avantor, Inc.",share,Health Care,Life Sciences Tools & Services,"Radnor, Pennsylvania"
AXTA,Axalta Coating Systems Ltd.,Axalta Coating Systems Ltd.,share,Materials,Specialty Chemicals,"Philadelphia, Pennsylvania"
AYI,Acuity Inc.,Acuity Inc.,share,Industrials,Electrical Components & Equipment,"Atlanta, Georgia"
BBWI,"Bath & Body Works, Inc.","Bath & Body Works, Inc.",share,Consumer Discretionary,Other Specialty Retail,"Columbus, Ohio"
BC,Brunswick Corporation,Brunswick Corporation,share,Consumer Discretionary,Leisure Products,"Mettawa, Illinois"
BCO,Brinks Company (The),The Brink's Company,share,Industrials,Security & Alarm Services,"Richmond, Virginia"
BDC,Belden Inc,Belden Inc.,share,Information Technology,Electronic Components,"St. Louis, Missouri"
BHF,"Brighthouse Financial, Inc.","Brighthouse Financial, Inc.",share,Financials,Life & Health Insurance,"Charlotte, North Carolina"
BILL,"BILL Holdings, Inc.","BILL Holdings, Inc.",share,Information Technology,Application Software,"San Jose, California"
BIO,"Bio-Rad Laboratories, Inc.","Bio-Rad Laboratories, Inc.",share,Health Care,Life Sciences Tools & Services,"Hercules, California"
BJ,"BJ's Wholesale Club Holdings, I","BJ's Wholesale Club Holdings, Inc.",share,Consumer Staples,Consumer Staples Merchandise Retail,"Marlborough, Massachusetts"
BKH,Black Hills Corporation,Black Hills Corporation,share,Utilities,Multi-Utilities,"Rapid City, South Dakota"
BLD,TopBuild Corp.,TopBuild Corp.,share,Consumer Discretionary,Homebuilding,
BLKB,"Blackbaud, Inc.","Blackbaud, Inc.",share,Information Technology,Application Software,"Charleston, South Carolina"
BMRN,BioMarin Pharmaceutical Inc.,BioMarin Pharmaceutical Inc.,share,Health Care,Biotechnology,"San Rafael, California"
BRBR,"BellRing Brands, Inc.","BellRing Brands, Inc.",share,Consumer Staples,Packaged Foods & Meats,
BRKR,Bruker Corporation,Bruker Corporation,share,Health Care,Health Care Equipment,"Billerica, Massachusetts"
BRX,Brixmor Property Group Inc.,Brixmor Property Group Inc.,share,Real Estate,Retail REITs,"New York City, New York"
BSY,"Bentley Systems, Incorporated","Bentley Systems, Incorporated",share,Information Technology,Application Software,"Exton, Pennsylvania"
BURL,"Burlington Stores, Inc.","Burlington Stores, Inc.",share,Consumer Discretionary,Apparel Retail,"Burlington, New Jersey"
BWXT,"BWX Technologies, Inc.","BWX Technologies, Inc.",share,Industrials,Aerospace & Defense,"Lynchburg, Virginia"
BYD,Boyd Gaming Corporation,Boyd Gaming Corporation,share,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada"
CACI,"CACI International, Inc.",CACI International Inc,share,Industrials,Diversified Support Services,"Reston, Virginia"
CADE,Cadence Bank,Cadence Bank,share,Financials,Regional Banks,"Tupelo, Mississippi Houston, Texas"
CAR,"Avis Budget Group, Inc.","Avis Budget Group, Inc.",share,Industrials,Passenger Ground Transportation,"Parsippany, New Jersey"
CART,Maplebear Inc.,Maplebear Inc.,share,Consumer Staples,Food Retail,"San Francisco, California"
CASY,"Caseys General Stores, Inc.","Casey's General Stores, Inc.",share,Consumer Staples,Food Retail,"Ankeny, Iowa"
CAVA,"CAVA Group, Inc.","CAVA Group, Inc.",share,Consumer Discretionary,Restaurants,"Washington, D.C."
CBSH,"Commerce Bancshares, Inc.","Commerce Bancshares, Inc.",share,Financials,Regional Banks,"Kansas City, Missouri"
CBT,Cabot Corporation,Cabot Corporation,share,Materials,Diversified Chemicals,"Boston, Massachusetts"
CCK,"Crown Holdings, Inc.","Crown Holdings, Inc.",share,Materials,Paper & Plastic Packaging Products & Materials,"Yardley, Pennsylvania"
CDP,COPT Defense Properties,COPT Defense Properties,share,Real Estate,Office REITs,"Columbia, Maryland"
CELH,"Celsius Holdings, Inc.","Celsius Holdings, Inc.",share,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Boca Raton, Florida"
CFR,"Cullen/Frost Bankers, Inc.","Cullen/Frost Bankers, Inc.",share,Financials,Regional Banks,"San Antonio, Texas"
CG,The Carlyle Group Inc.,The Carlyle Group Inc.,share,Financials,Asset Management & Custody Banks,"Washington, D.C."
CGNX,Cognex Corporation,Cognex Corporation,share,Information Technology,Electronic Equipment & Instruments,"Natick, Massachusetts"
CHDN,"Churchill Downs, Incorporated",Churchill Downs Incorporated,share,Consumer Discretionary,Casinos & Gaming,"Louisville, Kentucky"
CHE,Chemed Corp,Chemed Corporation,share,Health Care,Health Care Services,"Cincinnati, Ohio"
CHH,"Choice Hotels International, In","Choice Hotels International, Inc.",share,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Rockville, Maryland"
CHRD,Chord Energy Corporation,Chord Energy Corporation,share,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
CHWY,"Chewy, Inc.","Chewy, Inc.",share,Consumer Discretionary,Other Specialty Retail,"Plantation, Florida"
CIEN,Ciena Corporation,Ciena Corporation,share,Information Technology,Communications Equipment,"Hanover, Maryland"
CIVI,"Civitas Resources, Inc.","Civitas Resources, Inc.",share,Energy,Oil & Gas Exploration & Production,"Denver, Colorado"
CLF,Cleveland-Cliffs Inc.,Cleveland-Cliffs Inc.,share,Materials,Steel,"Cleveland, Ohio"
CLH,"Clean Harbors, Inc.","Clean Harbors, Inc.",share,Industrials,Environmental & Facilities Services,"Norwell, Massachusetts"
CMA,Comerica Incorporated,Comerica Incorporated,share,Financials,Regional Banks,"Dallas, Texas"
CMC,Commercial Metals Company,Commercial Metals Company,share,Materials,Steel,"Irving, Texas"
CNH,CNH Industrial N.V.,CNH Industrial N.V.,share,Industrials,Agricultural & Farm Machinery,"Amsterdam, Netherlands"
CNM,"Core & Main, Inc.","Core & Main, Inc.",share,Industrials,Trading Companies & Distributors,"St. Louis, Missouri"
CNO,"CNO Financial Group, Inc.","CNO Financial Group, Inc.",share,Financials,Life & Health Insurance,"Carmel, Indiana"
CNX,CNX Resources Corporation,CNX Resources Corporation,share,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania"
CNXC,Concentrix Corporation,Concentrix Corporation,share,Industrials,Data Processing & Outsourced Services,"Newark, California"
COHR,Coherent Corp.,Coherent Corp.,share,Information Technology,Electronic Components,"Saxonburg, Pennsylvania"
COKE,"Coca-Cola Consolidated, Inc.","Coca-Cola Consolidated, Inc.",share,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Charlotte, North Carolina"
COLB,"Columbia Banking System, Inc.","Columbia Banking System, Inc.",share,Financials,Regional Banks,"Tacoma, Washington"
COLM,Columbia Sportswear Company,Columbia Sportswear Company,share,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Portland, Oregon"
COTY,Coty Inc.,Coty Inc.,share,Consumer Staples,Personal Care Products,"New York City, New York"
CPRI,Capri Holdings Limited,Capri Holdings Limited,share,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York"
CR,Crane Company,Crane Company,share,Industrials,Industrial Machinery & Supplies & Components,"Stamford, Connecticut"
CROX,"Crocs, Inc.","Crocs, Inc.",share,Consumer Discretionary,Footwear,"Broomfield, Colorado"
CRS,Carpenter Technology Corporatio,Carpenter Technology Corporation,share,Materials,Steel,"Philadelphia, Pennsylvania"
CRUS,"Cirrus Logic, Inc.","Cirrus Logic, Inc.",share,Information Technology,Semiconductors,"Austin, Texas"
CSL,Carlisle Companies Incorporated,Carlisle Companies Incorporated,share,Industrials,Industrial Conglomerates,"Phoenix, Arizona"
CUBE,CubeSmart,CubeSmart,share,Real Estate,Industrial REITs,"Malvern, Pennsylvania"
CUZ,Cousins Properties Incorporated,Cousins Properties Incorporated,share,Real Estate,Office REITs,"Atlanta, Georgia"
CVLT,"Commvault Systems, Inc.","Commvault Systems, Inc.",share,Information Technology,Systems Software,"Tinton Falls, New Jersey"
CW,Curtiss-Wright Corporation,Curtiss-Wright Corporation,share,Industrials,Aerospace & Defense,"Davidson, North Carolina"
CXT,"Crane NXT, Co.","Crane NXT, Co.",share,Information Technology,Electronic Equipment & Instruments,"Stamford, Connecticut"
CYTK,"Cytokinetics, Incorporated","Cytokinetics, Incorporated",share,Health Care,Biotechnology,"South San Francisco, California"
DAR,Darling Ingredients Inc.,Darling Ingredients Inc.,share,Consumer Staples,Agricultural Products & Services,
DBX,"Dropbox, Inc.","Dropbox, Inc.",share,Information Technology,Application Software,"San Francisco, California"
DCI,"Donaldson Company, Inc.","Donaldson Company, Inc.",share,Industrials,Industrial Machinery & Supplies & Components,"Bloomington, Minnesota"
DINO,HF Sinclair Corporation,HF Sinclair Corporation,share,Energy,Oil & Gas Refining & Marketing,"Dallas, Texas"
DKS,Dick's Sporting Goods Inc,"DICK'S Sporting Goods, Inc.",share,Consumer Discretionary,Specialty Stores,"Coraopolis, Pennsylvania"
DLB,Dolby Laboratories,"Dolby Laboratories, Inc.",share,Information Technology,Application Software,"San Francisco, California"
DOCS,"Doximity, Inc.","Doximity, Inc.",share,Health Care,Health Care Technology,"San Francisco, California"
DOCU,"DocuSign, Inc.","DocuSign, Inc.",share,Information Technology,Application Software,"San Francisco, California"
DT,"Dynatrace, Inc.","Dynatrace, Inc.",share,Information Technology,Application Software,"Waltham, Massachusetts"
DTM,"DT Midstream, Inc.","DT Midstream, Inc.",share,Energy,Oil & Gas Storage & Transportation,"Detroit, Michigan"
DUOL,"Duolingo, Inc.","Duolingo, Inc.",share,Consumer Discretionary,Education Services,"Pittsburgh, Pennsylvania"
EEFT,"Euronet Worldwide, Inc.","Euronet Worldwide, Inc.",share,Financials,Transaction & Payment Processing Services,"Leawood, Kansas"
EGP,"EastGroup Properties, Inc.","EastGroup Properties, Inc.",share,Real Estate,Industrial REITs,
EHC,Encompass Health Corporation,Encompass Health Corporation,share,Health Care,Health Care Facilities,"Birmingham, Alabama"
ELAN,Elanco Animal Health Incorporat,Elanco Animal Health Incorporated,share,Health Care,Pharmaceuticals,"Greenfield, Indiana"
ELF,"e.l.f. Beauty, Inc.","e.l.f. Beauty, Inc.",share,Consumer Staples,Personal Care Products,"Oakland, California"
ELS,"Equity Lifestyle Properties, In","Equity LifeStyle Properties, Inc.",share,Real Estate,Single-Family Residential REITs,"Chicago, Illinois"
ENS,EnerSys,EnerSys,share,Industrials,Electrical Components & Equipment,"Reading, Pennsylvania"
ENSG,"The Ensign Group, Inc.","The Ensign Group, Inc.",share,Health Care,Health Care Facilities,"San Juan Capistrano, California"
ENTG,"Entegris, Inc.","Entegris, Inc.",share,Information Technology,Semiconductor Materials & Equipment,"Billerica, Massachusetts"
EPR,EPR Properties,EPR Properties,share,Real Estate,Other Specialized REITs,"Kansas City, Missouri"
EQH,"Equitable Holdings, Inc.","Equitable Holdings, Inc.",share,Financials,Diversified Financial Services,"New York City, New York"
ESAB,ESAB Corporation,ESAB Corporation,share,Industrials,Industrial Machinery & Supplies & Components,"North Bethesda, Maryland"
ESNT,Essent Group Ltd.,Essent Group Ltd.,share,Financials,Commercial & Residential Mortgage Finance,
EVR,Evercore Inc.,Evercore Inc.,share,Financials,Investment Banking & Brokerage,"New York City, New York"
EWBC,"East West Bancorp, Inc.","East West Bancorp, Inc.",share,Financials,Regional Banks,"Pasadena, California"
EXEL,"Exelixis, Inc.","Exelixis, Inc.",share,Health Care,Biotechnology,"Alameda, California"
EXLS,"ExlService Holdings, Inc.","ExlService Holdings, Inc.",share,Industrials,Data Processing & Outsourced Services,"New York City, New York"
EXP,Eagle Materials Inc,Eagle Materials Inc.,share,Materials,Construction Materials,"Dallas, Texas"
EXPO,"Exponent, Inc.","Exponent, Inc.",share,Industrials,Research & Consulting Services,"Menlo Park, California"
FAF,First American Corporation (New,First American Financial Corporation,share,Financials,Property & Casualty Insurance,"Santa Ana, California"
FBIN,"Fortune Brands Innovations, Inc","Fortune Brands Innovations, Inc.",share,Industrials,Building Products,"Deerfield, Illinois"
FCFS,"FirstCash Holdings, Inc.","FirstCash Holdings, Inc.",share,Financials,Consumer Finance,"Fort Worth, Texas"
FCN,"FTI Consulting, Inc.","FTI Consulting, Inc.",share,Industrials,Research & Consulting Services,"Washington, D.C."
FFIN,"First Financial Bankshares, Inc","First Financial Bankshares, Inc.",share,Financials,Regional Banks,"Cincinnati, Ohio"
FHI,"Federated Hermes, Inc.","Federated Hermes, Inc.",share,Financials,Asset Management & Custody Banks,"Pittsburgh, Pennsylvania"
FHN,First Horizon Corporation,First Horizon Corporation,share,Financials,Regional Banks,"Memphis, Tennessee"
FIVE,"Five Below, Inc.","Five Below, Inc.",share,Consumer Discretionary,Specialty Stores,"Philadelphia, Pennsylvania"
FIX,"Comfort Systems USA, Inc.","Comfort Systems USA, Inc.",share,Industrials,Construction & Engineering,"Houston, Texas"
FLEX,Flex Ltd.,Flex Ltd.,share,Information Technology,Electronic Manufacturing Services,"Austin, Texas"
FLG,"Flagstar Bank, N.A.","Flagstar Bank, National Association",share,Financials,Regional Banks,"Hicksville, New York"
FLO,"Flowers Foods, Inc.","Flowers Foods, Inc.",share,Consumer Staples,Packaged Foods & Meats,"Thomasville, Georgia"
FLR,Fluor Corporation,Fluor Corporation,share,Industrials,Construction & Engineering,"Irving, Texas"
FLS,Flowserve Corporation,Flowserve Corporation,share,Industrials,Industrial Machinery & Supplies & Components,"Irving, Texas"
FN,Fabrinet,Fabrinet,share,Information Technology,Electronic Manufacturing Services,"Santa Clara, California"
FNB,F.N.B. Corporation,F.N.B. Corporation,share,Financials,Regional Banks,"Pittsburgh, Pennsylvania"
FND,"Floor & Decor Holdings, Inc.","Floor & Decor Holdings, Inc.",share,Consumer Discretionary,Home Improvement Retail,"Smyrna, Georgia"
FNF,"Fidelity National Financial, In","Fidelity National Financial, Inc.",share,Financials,Property & Casualty Insurance,"Jacksonville, Florida"
FOUR,"Shift4 Payments, Inc.","Shift4 Payments, Inc.",share,Financials,Transaction & Payment Processing Services,"Center Valley, Pennsylvania"
FR,"First Industrial Realty Trust, ","First Industrial Realty Trust, Inc.",share,Real Estate,Industrial REITs,"Chicago, Illinois"
FTI,TechnipFMC plc,TechnipFMC plc,share,Energy,Oil & Gas Equipment & Services,"Houston, Texas"
FYBR,"Frontier Communications Parent,","Frontier Communications Parent, Inc.",share,Communication Services,Integrated Telecommunication Services,"Norwalk, Connecticut"
G,Genpact Limited,Genpact Limited,share,Industrials,Data Processing & Outsourced Services,"New York City, New York"
GAP,"Gap, Inc. (The)","The Gap, Inc.",share,Consumer Discretionary,Apparel Retail,"San Francisco, California"
GATX,GATX Corporation,GATX Corporation,share,Industrials,Construction Machinery & Heavy Transportation Equipment,"Chicago, Illinois"
GBCI,"Glacier Bancorp, Inc.","Glacier Bancorp, Inc.",share,Financials,Regional Banks,"Kalispell, Montana"
GEF,Greif Inc.,"Greif, Inc.",share,Materials,"Metal, Glass & Plastic Containers","Delaware, Ohio"
GGG,Graco Inc.,Graco Inc.,share,Industrials,Industrial Machinery & Supplies & Components,"Minneapolis, Minnesota"
GHC,Graham Holdings Company,Graham Holdings Company,share,Consumer Discretionary,Education Services,"Arlington County, Virginia"
GLPI,"Gaming and Leisure Properties, ","Gaming and Leisure Properties, Inc.",share,Real Estate,Other Specialized REITs,"Wyomissing, Pennsylvania"
GME,GameStop Corporation,GameStop Corp.,share,Consumer Discretionary,Computer & Electronics Retail,"Grapevine, Texas"
GMED,"Globus Medical, Inc.","Globus Medical, Inc.",share,Health Care,Health Care Equipment,"Audubon, Pennsylvania"
GNTX,Gentex Corporation,Gentex Corporation,share,Consumer Discretionary,Automotive Parts & Equipment,"Zeeland, Michigan"
GPK,Graphic Packaging Holding Compa,Graphic Packaging Holding Company,share,Materials,Paper & Plastic Packaging Products & Materials,"Atlanta, Georgia"
GT,The Goodyear Tire & Rubber Comp,The Goodyear Tire & Rubber Company,share,Consumer Discretionary,Tires & Rubber,"Akron, Ohio"
GTLS,"Chart Industries, Inc.","Chart Industries, Inc.",share,Industrials,Industrial Machinery & Supplies & Components,
GTM,ZoomInfo Technologies Inc.,ZoomInfo Technologies Inc.,share,Communication Services,Interactive Media & Services,"Vancouver, Washington"
GWRE,"Guidewire Software, Inc.","Guidewire Software, Inc.",share,Information Technology,Application Software,"San Mateo, California"
GXO,"GXO Logistics, Inc.","GXO Logistics, Inc.",share,Industrials,Air Freight & Logistics,"Greenwich, Connecticut"
H,Hyatt Hotels Corporation,Hyatt Hotels Corporation,share,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Chicago, Illinois"
HAE,Haemonetics Corporation,Haemonetics Corporation,share,Health Care,Health Care Supplies,"Boston, Massachusetts"
HALO,"Halozyme Therapeutics, Inc.","Halozyme Therapeutics, Inc.",share,Health Care,Biotechnology,"San Diego, California"
HGV,Hilton Grand Vacations Inc.,Hilton Grand Vacations Inc.,share,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Orlando, Florida"
HIMS,"Hims & Hers Health, Inc.","Hims & Hers Health, Inc.",share,Health Care,Health Care Services,"San Francisco, California"
HLI,"Houlihan Lokey, Inc.","Houlihan Lokey, Inc.",share,Financials,Investment Banking & Brokerage,"Los Angeles, California"
HLNE,Hamilton Lane Incorporated,Hamilton Lane Incorporated,share,Financials,Asset Management & Custody Banks,"Conshohocken, Pennsylvania"
HOG,"Harley-Davidson, Inc.","Harley-Davidson, Inc.",share,Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin"
HOMB,"Home BancShares, Inc.","Home Bancshares, Inc. (Conway, AR)",share,Financials,Regional Banks,"Conway, Arkansas"
HQY,"HealthEquity, Inc.","HealthEquity, Inc.",share,Health Care,Managed Health Care,"Draper, Utah"
HR,Healthcare Realty Trust Incorpo,Healthcare Realty Trust Incorporated,share,Real Estate,Health Care REITs,
HRB,"H&R Block, Inc.","H&R Block, Inc.",share,Consumer Discretionary,Specialized Consumer Services,"Kansas City, Missouri"
HWC,Hancock Whitney Corporation,Hancock Whitney Corporation,share,Financials,Regional Banks,"Gulfport, Mississippi"
HXL,Hexcel Corporation,Hexcel Corporation,share,Industrials,Aerospace & Defense,"Stamford, Connecticut"
IBOC,International Bancshares Corpor,International Bancshares Corporation,share,Financials,Regional Banks,"Laredo, Texas"
IDA,"IDACORP, Inc.","IDACORP, Inc.",share,Utilities,Electric Utilities,"Boise, Idaho"
ILMN,"Illumina, Inc.","Illumina, Inc.",share,Health Care,Life Sciences Tools & Services,"San Diego, California"
INGR,Ingredion Incorporated,Ingredion Incorporated,share,Consumer Staples,Agricultural Products & Services,"Westchester, Illinois"
IPGP,IPG Photonics Corporation,IPG Photonics Corporation,share,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts"
IRDM,Iridium Communications Inc,Iridium Communications Inc.,share,Communication Services,Alternative Carriers,"McLean, Virginia"
IRT,"Independence Realty Trust, Inc.","Independence Realty Trust, Inc.",share,Real Estate,Multi-Family Residential REITs,
ITT,ITT Inc.,ITT Inc.,share,Industrials,Industrial Machinery & Supplies & Components,"Stamford, Connecticut"
JAZZ,Jazz Pharmaceuticals plc,Jazz Pharmaceuticals plc,share,Health Care,Pharmaceuticals,"Dublin, Ireland"
JEF,Jefferies Financial Group Inc.,Jefferies Financial Group Inc.,share,Financials,Multi-Sector Holdings,"New York City, New York"
JHG,Janus Henderson Group plc,Janus Henderson Group plc,share,Financials,Asset Management & Custody Banks,
JLL,Jones Lang LaSalle Incorporated,Jones Lang LaSalle Incorporated,share,Real Estate,Real Estate Services,"Chicago, Illinois"
KBH,KB Home,KB Home,share,Consumer Discretionary,Homebuilding,"Los Angeles, California"
KBR,"KBR, Inc.","KBR, Inc.",share,Industrials,Diversified Support Services,"Houston, Texas"
KD,"Kyndryl Holdings, Inc.","Kyndryl Holdings, Inc.",share,Information Technology,IT Consulting & Other Services,"New York City, New York"
KEX,Kirby Corporation,Kirby Corporation,share,Industrials,Marine Transportation,"Houston, Texas"
KMPR,Kemper Corporation,Kemper Corporation,share,Financials,Multi-line Insurance,"Chicago, Illinois"
KNF,Knife Riv Holding Co.,Knife River Corporation,share,Materials,Construction Materials,"Bismarck, North Dakota"
KNSL,"Kinsale Capital Group, Inc.","Kinsale Capital Group, Inc.",share,Financials,Property & Casualty Insurance,
KNX,Knight-Swift Transportation Hol,Knight-Swift Transportation Holdings Inc.,share,Industrials,Cargo Ground Transportation,"Phoenix, Arizona"
KRC,Kilroy Realty Corporation,Kilroy Realty Corporation,share,Real Estate,Office REITs,
KRG,Kite Realty Group Trust,Kite Realty Group Trust,share,Real Estate,Retail REITs,
KTOS,Kratos Defense & Security Solut,"Kratos Defense & Security Solutions, Inc.",share,Industrials,Aerospace & Defense,"San Diego, California"
LAD,"Lithia Motors, Inc.","Lithia Motors, Inc.",share,Consumer Discretionary,Automotive Retail,"Medford, Oregon"
LAMR,Lamar Advertising Company,Lamar Advertising Company,share,Real Estate,Other Specialized REITs,"Baton Rouge, Louisiana"
LEA,Lear Corporation,Lear Corporation,share,Consumer Discretionary,Automotive Parts & Equipment,"Southfield, Michigan"
LECO,"Lincoln Electric Holdings, Inc.","Lincoln Electric Holdings, Inc.",share,Industrials,Industrial Machinery & Supplies & Components,"Euclid, Ohio"
LFUS,"Littelfuse, Inc.","Littelfuse, Inc.",share,Information Technology,Electronic Components,"Chicago, Illinois"
LITE,Lumentum Holdings Inc.,Lumentum Holdings Inc.,share,Information Technology,Communications Equipment,"San Jose, California"
LIVN,LivaNova PLC,LivaNova PLC,share,Health Care,Health Care Equipment,"Houston, Texas"
LNTH,"Lantheus Holdings, Inc.","Lantheus Holdings, Inc.",share,Health Care,Health Care Supplies,
LNW,"Light & Wonder, Inc.","Light & Wonder, Inc.",share,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada"
LOPE,"Grand Canyon Education, Inc.","Grand Canyon Education, Inc.",share,Consumer Discretionary,Education Services,"Phoenix, Arizona"
LPX,Louisiana-Pacific Corporation,Louisiana-Pacific Corporation,share,Materials,Forest Products,"Nashville, Tennessee"
LSCC ,Lattice Semiconductor Corporati,Lattice Semiconductor Corporation,share,Information Technology,Semiconductors,"Hillsboro, Oregon"
LSTR,"Landstar System, Inc.","Landstar System, Inc.",share,Industrials,Cargo Ground Transportation,"Jacksonville, Florida"
M,Macy's Inc,"Macy's, Inc.",share,Consumer Discretionary,Broadline Retail,"New York City, New York"
MANH,"Manhattan Associates, Inc.","Manhattan Associates, Inc.",share,Information Technology,Application Software,"Atlanta, Georgia"
MASI,Masimo Corporation,Masimo Corporation,share,Health Care,Health Care Equipment,"Irvine, California"
MAT,"Mattel, Inc.","Mattel, Inc.",share,Consumer Discretionary,Leisure Products,"El Segundo, California"
MEDP,"Medpace Holdings, Inc.","Medpace Holdings, Inc.",share,Health Care,Life Sciences Tools & Services,"Cincinnati, Ohio"
MIDD,The Middleby Corporation,The Middleby Corporation,share,Industrials,Industrial Machinery & Supplies & Components,"Elgin, Illinois"
MKSI,MKS Inc.,MKS Inc.,share,Information Technology,Semiconductor Materials & Equipment,"Andover, Massachusetts"
MLI,"Mueller Industries, Inc.","Mueller Industries, Inc.",share,Industrials,Industrial Machinery & Supplies & Components,"Collierville, Tennessee"
MMS,"Maximus, Inc.","Maximus, Inc.",share,Industrials,Data Processing & Outsourced Services,"Tysons, Virginia"
MORN,"Morningstar, Inc.","Morningstar, Inc.",share,Financials,Financial Exchanges & Data,"Chicago, Illinois"
MP,MP Materials Corp.,MP Materials Corp.,share,Materials,Diversified Metals & Mining,"Las Vegas, Nevada"
MSA,MSA Safety Incorporated,MSA Safety Incorporated,share,Industrials,Office Services & Supplies,"Cranberry Township, Pennsylvania"
MSM,"MSC Industrial Direct Company, ","MSC Industrial Direct Co., Inc.",share,Industrials,Trading Companies & Distributors,"Melville, New York Davidson, North Carolina"
MTDR,Matador Resources Company,Matador Resources Company,share,Energy,Oil & Gas Exploration & Production,"Dallas, Texas"
MTG,MGIC Investment Corporation,MGIC Investment Corporation,share,Financials,Reinsurance,"Milwaukee, Wisconsin"
