Symbol,Short Name,Long Name,Type,Sector,Industry,Country
AZTA,"Azenta, Inc.","Azenta, Inc.",share,Health Care,Life Sciences Tools & Services,"Chelmsford, Massachusetts"
AZZ,AZZ Inc.,AZZ Inc.,share,Industrials,Heavy Electrical Equipment,"Fort Worth, Texas"
BANC,"Banc of California, Inc.","Banc of California, Inc.",share,Financials,Regional Banks,"Santa Ana, California"
BANF,BancFirst Corporation,BancFirst Corporation,share,Financials,Regional Banks,"Oklahoma City, Oklahoma"
BANR,Banner Corporation,Banner Corporation,share,Financials,Regional Banks,"Walla Walla, Washington"
BBT,Beacon Financial Corporation,Beacon Financial Corporation,share,Financials,Regional Banks,"Boston, Massachusetts"
BCC,"Boise Cascade, L.L.C.",Boise Cascade Company,share,Industrials,Building Products,"Boise, Idaho"
BCPC,Balchem Corporation,Balchem Corporation,share,Materials,Specialty Chemicals,"Montvale, New Jersey"
BDN,Brandywine Realty Trust,Brandywine Realty Trust,share,Real Estate,Office REITs,"Philadelphia, Pennsylvania"
BFH,"Bread Financial Holdings, Inc.","Bread Financial Holdings, Inc.",share,Financials,Consumer Finance,"Columbus, Ohio"
BFS,"Saul Centers, Inc.","Saul Centers, Inc.",share,Real Estate,Retail REITs,"Bethesda, Maryland"
BGC,"BGC Group, Inc.","BGC Group, Inc.",share,Financials,Investment Banking & Brokerage,"New York City, New York"
BHE,"Benchmark Electronics, Inc.","Benchmark Electronics, Inc.",share,Information Technology,Electronic Manufacturing Services,"Tempe, Arizona"
BJRI,"BJ's Restaurants, Inc.","BJ's Restaurants, Inc.",share,Consumer Discretionary,Restaurants,"Huntington Beach, California"
BKE,"Buckle, Inc. (The)","The Buckle, Inc.",share,Consumer Discretionary,Apparel Retail,"Kearney, Nebraska"
BKU,"BankUnited, Inc.","BankUnited, Inc.",share,Financials,Regional Banks,"Miami Lakes, Florida"
BL,"BlackLine, Inc.","BlackLine, Inc.",share,Information Technology,Application Software,"Los Angeles, California"
BLFS,"BioLife Solutions, Inc.","BioLife Solutions, Inc.",share,Health Care,Health Care Supplies,"Bothell, Washington"
BLMN,"Bloomin' Brands, Inc.","Bloomin' Brands, Inc.",share,Consumer Discretionary,Restaurants,"Tampa, Florida"
BMI,"Badger Meter, Inc.","Badger Meter, Inc.",share,Information Technology,Electronic Equipment & Instruments,"Milwaukee, Wisconsin"
BOH,Bank of Hawaii Corporation,Bank of Hawaii Corporation,share,Financials,Regional Banks,"Honolulu, Hawaii"
BOOT,"Boot Barn Holdings, Inc.","Boot Barn Holdings, Inc.",share,Consumer Discretionary,Apparel Retail,"Irvine, California"
BOX,"Box, Inc.","Box, Inc.",share,Information Technology,Application Software,"Redwood City, California"
BRC,Brady Corporation,Brady Corporation,share,Industrials,Commercial Printing,"Milwaukee, Wisconsin"
BTSG,"BrightSpring Health Services, I","BrightSpring Health Services, Inc.",share,Health Care,Health Care Services,"Louisville, Kentucky"
BTU,Peabody Energy Corporation,Peabody Energy Corporation,share,Energy,Coal & Consumable Fuels,"St. Louis, Missouri"
BWA,BorgWarner Inc.,BorgWarner Inc.,share,Consumer Discretionary,Automotive Parts & Equipment,"Auburn Hills, Michigan"
